"","Rank","NOC","Gold","Silver","Bronze","Total","Year"
"243",21,"Ireland",1,1,3,5,1956
"244",22,"Norway",1,0,2,3,1956
"245",23,"Mexico",1,0,1,2,1956
"246",24,"Brazil",1,0,0,1,1956
"247",24,"India",1,0,0,1,1956
"248",26,"Yugoslavia",0,3,0,3,1956
"249",27,"Chile",0,2,2,4,1956
"250",28,"Belgium",0,2,0,2,1956
"251",29,"Argentina",0,1,1,2,1956
"252",29,"South Korea",0,1,1,2,1956
"253",31,"Iceland",0,1,0,1,1956
"254",31,"Pakistan",0,1,0,1,1956
"255",33,"South Africa",0,0,4,4,1956
"256",34,"Austria",0,0,2,2,1956
"257",35,"Bahamas",0,0,1,1,1956
"258",35,"Greece",0,0,1,1,1956
"259",35,"Switzerland",0,0,1,1,1956
"260",35,"Uruguay",0,0,1,1,1956
"261",1,"Soviet Union",43,29,31,103,1960
"262",2,"United States",34,21,16,71,1960
"263",3,"Italy",13,10,13,36,1960
"264",4,"United Team of Germany",12,19,11,42,1960
"265",5,"Australia",8,8,6,22,1960
"266",6,"Turkey",7,2,0,9,1960
"267",7,"Hungary",6,8,7,21,1960
"268",8,"Japan",4,7,7,18,1960
"269",9,"Poland",4,6,11,21,1960
"270",10,"Czechoslovakia",3,2,3,8,1960
"271",11,"Romania",3,1,6,10,1960
"272",12,"Great Britain",2,6,12,20,1960
"273",13,"Denmark",2,3,1,6,1960
"274",14,"New Zealand",2,0,1,3,1960
"275",15,"Bulgaria",1,3,3,7,1960
"276",16,"Sweden",1,2,3,6,1960
"277",17,"Finland",1,1,3,5,1960
"278",18,"Austria",1,1,0,2,1960
"279",18,"Yugoslavia",1,1,0,2,1960
"280",20,"Pakistan",1,0,1,2,1960
"281",21,"Ethiopia",1,0,0,1,1960
"282",21,"Greece",1,0,0,1,1960
"283",21,"Norway",1,0,0,1,1960
"284",24,"Switzerland",0,3,3,6,1960
"285",25,"France",0,2,3,5,1960
"286",26,"Belgium",0,2,2,4,1960
"287",27,"Iran",0,1,3,4,1960
"288",28,"Netherlands",0,1,2,3,1960
"289",28,"South Africa",0,1,2,3,1960
"290",30,"Argentina",0,1,1,2,1960
"291",30,"Egypt",0,1,1,2,1960
"292",32,"Canada",0,1,0,1,1960
"293",32,"Formosa",0,1,0,1,1960
"294",32,"Ghana",0,1,0,1,1960
"295",32,"India",0,1,0,1,1960
"296",32,"Morocco",0,1,0,1,1960
"297",32,"Portugal",0,1,0,1,1960
"298",32,"Singapore",0,1,0,1,1960
"299",39,"Brazil",0,0,2,2,1960
"300",39,"British West Indies",0,0,2,2,1960
"301",41,"Iraq",0,0,1,1,1960
"302",41,"Mexico",0,0,1,1,1960
"303",41,"Spain",0,0,1,1,1960
"304",41,"Venezuela",0,0,1,1,1960
"305",1,"United States",36,26,28,90,1964
"306",2,"Soviet Union",30,31,35,96,1964
"307",3,"Japan",16,5,8,29,1964
"308",4,"United Team of Germany",10,22,18,50,1964
"309",5,"Italy",10,10,7,27,1964
"310",6,"Hungary",10,7,5,22,1964
"311",7,"Poland",7,6,10,23,1964
"312",8,"Australia",6,2,10,18,1964
"313",9,"Czechoslovakia",5,6,3,14,1964
"314",10,"Great Britain",4,12,2,18,1964
"315",11,"Bulgaria",3,5,2,10,1964
"316",12,"Finland",3,0,2,5,1964
"317",12,"New Zealand",3,0,2,5,1964
"318",14,"Romania",2,4,6,12,1964
"319",15,"Netherlands",2,4,4,10,1964
"320",16,"Turkey",2,3,1,6,1964
"321",17,"Sweden",2,2,4,8,1964
"322",18,"Denmark",2,1,3,6,1964
"323",19,"Yugoslavia",2,1,2,5,1964
"324",20,"Belgium",2,0,1,3,1964
"325",21,"France",1,8,6,15,1964
"326",22,"Canada",1,2,1,4,1964
"327",22,"Switzerland",1,2,1,4,1964
"328",24,"Bahamas",1,0,0,1,1964
"329",24,"Ethiopia",1,0,0,1,1964
"330",24,"India",1,0,0,1,1964
"331",27,"South Korea",0,2,1,3,1964
"332",28,"Trinidad and Tobago",0,1,2,3,1964
"333",29,"Tunisia",0,1,1,2,1964
"334",30,"Argentina",0,1,0,1,1964
"335",30,"Cuba",0,1,0,1,1964
"336",30,"Pakistan",0,1,0,1,1964
"337",30,"Philippines",0,1,0,1,1964
"338",34,"Iran",0,0,2,2,1964
"339",35,"Brazil",0,0,1,1,1964
"340",35,"Ghana",0,0,1,1,1964
"341",35,"Ireland",0,0,1,1,1964
"342",35,"Kenya",0,0,1,1,1964
"343",35,"Mexico",0,0,1,1,1964
"344",35,"Nigeria",0,0,1,1,1964
"345",35,"Uruguay",0,0,1,1,1964
"346",1,"United States",45,28,34,107,1968
"347",2,"Soviet Union",29,32,30,91,1968
"348",3,"Japan",11,7,7,25,1968
"349",4,"Hungary",10,10,12,32,1968
"350",5,"East Germany",9,9,7,25,1968
"351",6,"France",7,3,5,15,1968
"352",7,"Czechoslovakia",7,2,4,13,1968
"353",8,"West Germany",5,11,10,26,1968
"354",9,"Australia",5,7,5,17,1968
"355",10,"Great Britain",5,5,3,13,1968
"356",11,"Poland",5,2,11,18,1968
"357",12,"Romania",4,6,5,15,1968
"358",13,"Italy",3,4,9,16,1968
"359",14,"Kenya",3,4,2,9,1968
"360",15,"Mexico",3,3,3,9,1968
"361",16,"Yugoslavia",3,3,2,8,1968
"362",17,"Netherlands",3,3,1,7,1968
"363",18,"Bulgaria",2,4,3,9,1968
"364",19,"Iran",2,1,2,5,1968
"365",20,"Sweden",2,1,1,4,1968
"366",21,"Turkey",2,0,0,2,1968
"367",22,"Denmark",1,4,3,8,1968
"368",23,"Canada",1,3,1,5,1968
"369",24,"Finland",1,2,1,4,1968
"370",25,"Ethiopia",1,1,0,2,1968
"371",25,"Norway",1,1,0,2,1968
"372",27,"New Zealand",1,0,2,3,1968
"373",28,"Tunisia",1,0,1,2,1968
"374",29,"Pakistan",1,0,0,1,1968
"375",29,"Venezuela",1,0,0,1,1968
"376",31,"Cuba",0,4,0,4,1968
"377",32,"Austria",0,2,2,4,1968
"378",33,"Switzerland",0,1,4,5,1968
"379",34,"Mongolia",0,1,3,4,1968
"380",35,"Brazil",0,1,2,3,1968
"381",36,"Belgium",0,1,1,2,1968
"382",36,"South Korea",0,1,1,2,1968
"383",36,"Uganda",0,1,1,2,1968
"384",39,"Cameroon",0,1,0,1,1968
"385",39,"Jamaica",0,1,0,1,1968
"386",41,"Argentina",0,0,2,2,1968
"387",42,"Greece",0,0,1,1,1968
"388",42,"India",0,0,1,1,1968
"389",42,"Taiwan",0,0,1,1,1968
"390",1,"Soviet Union",50,27,22,99,1972
"391",2,"United States",33,31,30,94,1972
"392",3,"East Germany",20,23,23,66,1972
"393",4,"West Germany",13,11,16,40,1972
"394",5,"Japan",13,8,8,29,1972
"395",6,"Australia",8,7,2,17,1972
"396",7,"Poland",7,5,9,21,1972
"397",8,"Hungary",6,13,16,35,1972
"398",9,"Bulgaria",6,10,5,21,1972
"399",10,"Italy",5,3,10,18,1972
"400",11,"Sweden",4,6,6,16,1972
"401",12,"Great Britain",4,5,9,18,1972
"402",13,"Romania",3,6,7,16,1972
"403",14,"Cuba",3,1,4,8,1972
"404",14,"Finland",3,1,4,8,1972
"405",16,"Netherlands",3,1,1,5,1972
"406",17,"France",2,4,7,13,1972
"407",18,"Czechoslovakia",2,4,2,8,1972
"408",19,"Kenya",2,3,4,9,1972
"409",20,"Yugoslavia",2,1,2,5,1972
"410",21,"Norway",2,1,1,4,1972
"411",22,"North Korea",1,1,3,5,1972
"412",23,"New Zealand",1,1,1,3,1972
"413",24,"Uganda",1,1,0,2,1972
"414",25,"Denmark",1,0,0,1,1972
"415",26,"Switzerland",0,3,0,3,1972
"416",27,"Canada",0,2,3,5,1972
"417",28,"Iran",0,2,1,3,1972
"418",29,"Belgium",0,2,0,2,1972
"419",29,"Greece",0,2,0,2,1972
"420",31,"Austria",0,1,2,3,1972
"421",31,"Colombia",0,1,2,3,1972
"422",33,"Argentina",0,1,0,1,1972
"423",33,"Lebanon",0,1,0,1,1972
"424",33,"Mexico",0,1,0,1,1972
"425",33,"Mongolia",0,1,0,1,1972
"426",33,"Pakistan",0,1,0,1,1972
"427",33,"South Korea",0,1,0,1,1972
"428",33,"Tunisia",0,1,0,1,1972
"429",33,"Turkey",0,1,0,1,1972
"430",41,"Brazil",0,0,2,2,1972
"431",41,"Ethiopia",0,0,2,2,1972
"432",43,"Ghana",0,0,1,1,1972
"433",43,"India",0,0,1,1,1972
"434",43,"Jamaica",0,0,1,1,1972
"435",43,"Niger",0,0,1,1,1972
"436",43,"Nigeria",0,0,1,1,1972
"437",43,"Spain",0,0,1,1,1972
"438",1,"Soviet Union",49,41,35,125,1976
"439",2,"East Germany",40,25,25,90,1976
"440",3,"United States",34,35,25,94,1976
"441",4,"West Germany",10,12,17,39,1976
"442",5,"Japan",9,6,10,25,1976
"443",6,"Poland",7,6,13,26,1976
"444",7,"Bulgaria",6,9,7,22,1976
"445",8,"Cuba",6,4,3,13,1976
"446",9,"Romania",4,9,14,27,1976
"447",10,"Hungary",4,5,13,22,1976
"448",11,"Finland",4,2,0,6,1976
"449",12,"Sweden",4,1,0,5,1976
"450",13,"Great Britain",3,5,5,13,1976
"451",14,"Italy",2,7,4,13,1976
"452",15,"France",2,3,4,9,1976
"453",16,"Yugoslavia",2,3,3,8,1976
"454",17,"Czechoslovakia",2,2,4,8,1976
"455",18,"New Zealand",2,1,1,4,1976
"456",19,"South Korea",1,1,4,6,1976
"457",20,"Switzerland",1,1,2,4,1976
"458",21,"Jamaica",1,1,0,2,1976
"459",21,"North Korea",1,1,0,2,1976
"460",21,"Norway",1,1,0,2,1976
"461",24,"Denmark",1,0,2,3,1976
"462",25,"Mexico",1,0,1,2,1976
"463",26,"Trinidad and Tobago",1,0,0,1,1976
"464",27,"Canada",0,5,6,11,1976
"465",28,"Belgium",0,3,3,6,1976
"466",29,"Netherlands",0,2,3,5,1976
"467",30,"Portugal",0,2,0,2,1976
"468",30,"Spain",0,2,0,2,1976
"469",32,"Australia",0,1,4,5,1976
"470",33,"Iran",0,1,1,2,1976
"471",34,"Mongolia",0,1,0,1,1976
"472",34,"Venezuela",0,1,0,1,1976
"473",36,"Brazil",0,0,2,2,1976
"474",37,"Austria",0,0,1,1,1976
"475",37,"Bermuda",0,0,1,1,1976
"476",37,"Pakistan",0,0,1,1,1976
"477",37,"Puerto Rico",0,0,1,1,1976
"478",37,"Thailand",0,0,1,1,1976
"479",1,"Soviet Union",80,69,46,195,1980
"480",2,"East Germany",47,37,42,126,1980
"481",3,"Bulgaria",8,16,17,41,1980
"482",4,"Cuba",8,7,5,20,1980
"483",5,"Italy",8,3,4,15,1980
"484",6,"Hungary",7,10,15,32,1980
"485",7,"Romania",6,6,13,25,1980
"486",8,"France",6,5,3,14,1980
"487",9,"Great Britain",5,7,9,21,1980
"488",10,"Poland",3,14,15,32,1980
"489",11,"Sweden",3,3,6,12,1980
"490",12,"Finland",3,1,4,8,1980
"491",13,"Czechoslovakia",2,3,9,14,1980
"492",14,"Yugoslavia",2,3,4,9,1980
"493",15,"Australia",2,2,5,9,1980
"494",16,"Denmark",2,1,2,5,1980
"495",17,"Brazil",2,0,2,4,1980
"496",17,"Ethiopia",2,0,2,4,1980
"497",19,"Switzerland",2,0,0,2,1980
"498",20,"Spain",1,3,2,6,1980
"499",21,"Austria",1,2,1,4,1980
"500",22,"Greece",1,0,2,3,1980
"501",23,"Belgium",1,0,0,1,1980
"502",23,"India",1,0,0,1,1980
"503",23,"Zimbabwe",1,0,0,1,1980
"504",26,"North Korea",0,3,2,5,1980
"505",27,"Mongolia",0,2,2,4,1980
"506",28,"Tanzania",0,2,0,2,1980
"507",29,"Mexico",0,1,3,4,1980
"508",30,"Netherlands",0,1,2,3,1980
"509",31,"Ireland",0,1,1,2,1980
"510",32,"Uganda",0,1,0,1,1980
"511",32,"Venezuela",0,1,0,1,1980
"512",34,"Jamaica",0,0,3,3,1980
"513",35,"Guyana",0,0,1,1,1980
"514",35,"Lebanon",0,0,1,1,1980
"515",1,"United States",83,61,30,174,1984
"516",2,"Romania",20,16,17,53,1984
"517",3,"West Germany",17,19,23,59,1984
"518",4,"China",15,8,9,32,1984
"519",5,"Italy",14,6,12,32,1984
"520",6,"Canada",10,18,16,44,1984
"521",7,"Japan",10,8,14,32,1984
"522",8,"New Zealand",8,1,2,11,1984
"523",9,"Yugoslavia",7,4,7,18,1984
"524",10,"South Korea",6,6,7,19,1984
"525",11,"Great Britain",5,11,21,37,1984
"526",12,"France",5,7,16,28,1984
"527",13,"Netherlands",5,2,6,13,1984
"528",14,"Australia",4,8,12,24,1984
"529",15,"Finland",4,2,6,12,1984
"530",16,"Sweden",2,11,6,19,1984
"531",17,"Mexico",2,3,1,6,1984
"532",18,"Morocco",2,0,0,2,1984
"533",19,"Brazil",1,5,2,8,1984
"534",20,"Spain",1,2,2,5,1984
"535",21,"Belgium",1,1,2,4,1984
"536",22,"Austria",1,1,1,3,1984
"537",23,"Kenya",1,0,2,3,1984
"538",23,"Portugal",1,0,2,3,1984
"539",25,"Pakistan",1,0,0,1,1984
"540",26,"Switzerland",0,4,4,8,1984
"541",27,"Denmark",0,3,3,6,1984
"542",28,"Jamaica",0,1,2,3,1984
"543",28,"Norway",0,1,2,3,1984
"544",30,"Greece",0,1,1,2,1984
"545",30,"Nigeria",0,1,1,2,1984
"546",30,"Puerto Rico",0,1,1,2,1984
"547",33,"Colombia",0,1,0,1,1984
"548",33,"Egypt",0,1,0,1,1984
"549",33,"Ireland",0,1,0,1,1984
"550",33,"Ivory Coast",0,1,0,1,1984
"551",33,"Peru",0,1,0,1,1984
"552",33,"Syria",0,1,0,1,1984
"553",33,"Thailand",0,1,0,1,1984
"554",40,"Turkey",0,0,3,3,1984
"555",40,"Venezuela",0,0,3,3,1984
"556",42,"Algeria",0,0,2,2,1984
"557",43,"Cameroon",0,0,1,1,1984
"558",43,"Chinese Taipei",0,0,1,1,1984
"559",43,"Dominican Republic",0,0,1,1,1984
"560",43,"Iceland",0,0,1,1,1984
"561",43,"Zambia",0,0,1,1,1984
"562",1,"Soviet Union",55,31,46,132,1988
"563",2,"East Germany",37,35,30,102,1988
"564",3,"United States",36,31,27,94,1988
"565",4,"South Korea",12,10,11,33,1988
"566",5,"West Germany",11,14,15,40,1988
"567",6,"Hungary",11,6,6,23,1988
"568",7,"Bulgaria",10,12,13,35,1988
"569",8,"Romania",7,11,6,24,1988
"570",9,"France",6,4,6,16,1988
"571",10,"Italy",6,4,4,14,1988
"572",11,"China",5,11,12,28,1988
"573",12,"Great Britain",5,10,9,24,1988
"574",13,"Kenya",5,2,2,9,1988
"575",14,"Japan",4,3,7,14,1988
"576",15,"Australia",3,6,5,14,1988
"577",16,"Yugoslavia",3,4,5,12,1988
"578",17,"Czechoslovakia",3,3,2,8,1988
"579",18,"New Zealand",3,2,8,13,1988
"580",19,"Canada",3,2,5,10,1988
"581",20,"Poland",2,5,9,16,1988
"582",21,"Norway",2,3,0,5,1988
"583",22,"Netherlands",2,2,5,9,1988
"584",23,"Denmark",2,1,1,4,1988
"585",24,"Brazil",1,2,3,6,1988
"586",25,"Finland",1,1,2,4,1988
"587",25,"Spain",1,1,2,4,1988
"588",27,"Turkey",1,1,0,2,1988
"589",28,"Morocco",1,0,2,3,1988
"590",29,"Austria",1,0,0,1,1988
"591",29,"Portugal",1,0,0,1,1988
"592",29,"Suriname",1,0,0,1,1988
"593",32,"Sweden",0,4,7,11,1988
"594",33,"Switzerland",0,2,2,4,1988
"595",34,"Jamaica",0,2,0,2,1988
"596",35,"Argentina",0,1,1,2,1988
"597",36,"Chile",0,1,0,1,1988
"598",36,"Costa Rica",0,1,0,1,1988
"599",36,"Indonesia",0,1,0,1,1988
"600",36,"Iran",0,1,0,1,1988
"601",36,"Netherlands Antilles",0,1,0,1,1988
"602",36,"Peru",0,1,0,1,1988
"603",36,"Senegal",0,1,0,1,1988
"604",36,"Virgin Islands",0,1,0,1,1988
"605",44,"Belgium",0,0,2,2,1988
"606",44,"Mexico",0,0,2,2,1988
"607",46,"Colombia",0,0,1,1,1988
"608",46,"Djibouti",0,0,1,1,1988
"609",46,"Greece",0,0,1,1,1988
"610",46,"Mongolia",0,0,1,1,1988
"611",46,"Pakistan",0,0,1,1,1988
"612",46,"Philippines",0,0,1,1,1988
"613",46,"Thailand",0,0,1,1,1988
"614",1,"Unified Team",45,38,29,112,1992
"615",2,"United States",37,34,37,108,1992
"616",3,"Germany",33,21,28,82,1992
"617",4,"China",16,22,16,54,1992
"618",5,"Cuba",14,6,11,31,1992
"619",6,"Spain",13,7,2,22,1992
"620",7,"South Korea",12,5,12,29,1992
"621",8,"Hungary",11,12,7,30,1992
"622",9,"France",8,5,16,29,1992
"623",10,"Australia",7,9,11,27,1992
"624",11,"Canada",7,4,7,18,1992
"625",12,"Italy",6,5,8,19,1992
"626",13,"Great Britain",5,3,12,20,1992
"627",14,"Romania",4,6,8,18,1992
"628",15,"Czechoslovakia",4,2,1,7,1992
"629",16,"North Korea",4,0,5,9,1992
"630",17,"Japan",3,8,11,22,1992
"631",18,"Bulgaria",3,7,6,16,1992
"632",19,"Poland",3,6,10,19,1992
